real_time_ideal_ms,real_time_noisy_ms,real_time_hardware_ms,state_fidelity,classical_fidelity_hw,emd_hw_vs_uniform
40.72627799996553,2790.2343260002453,20487.946293000277,1.0,0.0,1.6181640625
26.624136000464205,2065.7466419997945,7208.914361000097,1.0,0.0,2.2861328125
27.544835000298917,2224.936446000356,8922.070040000108,0.0,0.0,0.1591796875
33.80862700032594,2070.93241199982,7746.993406999536,0.0,0.0,2.40625
27.8908260006574,2145.2397229995768,7739.778239999396,1.0,0.0,2.65625
29.807247999997344,2342.8186750006716,7992.078917000072,0.0,0.0,0.1181640625
40.830377000020235,2281.2828509995597,7282.856263999747,0.0,0.0,1.794921875
29.34295600061887,2303.666499999963,8083.6410020001495,1.0,0.0,1.8623046875
28.123516000050586,2375.7297610000023,8147.704686999532,0.0,0.0,0.2294921875
26.33554899966839,2066.5456440001435,20076.033376999476,0.0,0.0,0.14453125
26.571432999844546,1999.3831519996093,27772.284020999905,0.0,0.0,0.2578125
26.426559000356065,2056.7652190002264,33832.389487999535,1.0,0.0,1.4453125
25.782441000046674,2144.4570849998854,9551.039881000179,0.0,0.0,0.2333984375
26.736369999525778,2115.9752719995595,18693.94250000005,0.0,0.0,0.1416015625
26.208688000224356,1814.2801270005293,7538.55762800049,0.0,0.0,2.23046875
30.089941000369436,2652.303335000397,7657.67364399926,0.0,0.0,1.517578125
41.035992000615806,2133.1800810003188,8927.649858000223,1.0,0.0,1.9453125
33.47803599990584,2129.926403999889,8034.534688999884,0.0,0.0,0.2783203125
102.19689499990636,2213.6399870005334,7538.969471999735,0.0,0.0,0.1337890625
43.72291599975142,2661.7004019999513,10209.285515000374,0.0,0.0,0.1533203125
